wkt_geom	OBJECTID	OBJTYPE	NAVN	KOMM	OPPDATERIN	Shape_Leng	Shape_Area	AREA	PERIMETER	ANSLAG_FRI
POLYGON((6.835881 60.627481,6.833064 60.613805,6.812673 60.514550,6.794740 60.506051,6.751078 60.485329,6.691161 60.464549,6.643726 60.467710,6.621508 60.469184,6.605884 60.445124,6.511429 60.431497,6.498069 60.447308,6.494909 60.451045,6.494543 60.451478,6.491177 60.455458,6.525594 60.466688,6.520563 60.468538,6.500283 60.475991,6.570743 60.492332,6.576810 60.497453,6.610585 60.525926,6.635094 60.563329,6.606806 60.581001,6.610126 60.586019,6.632755 60.620179,6.640389 60.631687,6.675190 60.641865,6.835881 60.627481))	21	Kommune	Granvin	1234		73124.193467	230086673.23	230086673.230194	73124.193467	62272000
POLYGON((5.190041 60.289334,5.187673 60.274447,5.144579 60.263853,5.225106 60.256062,5.232950 60.255301,5.231003 60.249650,5.210077 60.188796,5.117009 60.157602,4.940598 60.139456,4.547053 60.104050,4.526353 60.169825,4.507142 60.230593,4.897829 60.280317,4.950195 60.307035,4.963912 60.305126,4.991340 60.301303,5.042763 60.254110,5.071813 60.284419,5.109632 60.273263,5.127962 60.267849,5.124284 60.274364,5.115277 60.290308,5.142590 60.309697,5.144652 60.308813,5.190041 60.289334))	22	Kommune	Sund	1245		120857.99972	577629128.983	577629128.982697	120857.99972	304015000
POLYGON((11.072091 60.518299,11.084557 60.487066,11.095597 60.473224,11.138194 60.401607,11.100228 60.357672,11.092384 60.336135,11.090291 60.330385,11.046787 60.345981,11.015098 60.346189,10.933897 60.346688,10.902181 60.378704,10.903107 60.396292,10.819523 60.427371,10.671977 60.433856,10.710195 60.453973,10.692413 60.492025,10.711817 60.516043,10.713308 60.524164,10.760321 60.493959,10.923793 60.471194,10.939070 60.475395,10.952376 60.486615,11.072091 60.518299))	23	Kommune	Hurdal	239		85679.4996297	277285577.15	277285577.150269	85679.49963	138826000
POLYGON((5.253224 60.176091,5.331824 60.107194,5.329838 60.055493,5.327747 60.001089,5.327668 59.999038,5.266750 59.972698,5.078463 59.938620,5.002571 59.932773,4.606463 59.913519,4.564986 60.046814,4.556491 60.073957,4.547053 60.104050,4.940598 60.139456,5.117009 60.157602,5.210077 60.188796,5.253224 60.176091))	24	Kommune	Austevoll	1244		126272.502819	956663043.159	956663043.159073	126272.502819	284317000
POLYGON((11.090291 60.330385,11.109590 60.288985,11.122851 60.260472,11.129032 60.247164,11.129198 60.246807,11.107005 60.233431,11.079646 60.216921,11.060605 60.205418,11.057151 60.203330,11.049808 60.198386,11.043906 60.189647,11.053383 60.179030,11.067233 60.186069,11.067777 60.186345,11.068068 60.185032,11.070143 60.175659,11.076893 60.143493,11.081996 60.123126,11.039196 60.108999,11.037807 60.108902,11.001039 60.106335,11.000390 60.106290,11.001638 60.128017,10.912547 60.126664,10.865192 60.161933,10.861785 60.176512,10.774310 60.188016,10.782218 60.229583,10.827336 60.275754,10.864739 60.313923,10.933897 60.346688,11.015098 60.346189,11.046787 60.345981,11.090291 60.330385))	25	Kommune	Nannestad	238		80464.6254881	345779184.444	345779184.443115	80464.625488	517437000
POLYGON((5.499274 59.923560,5.489617 59.917668,5.478926 59.911141,5.433342 59.883276,5.406996 59.842423,5.405715 59.840434,5.327925 59.810509,5.320626 59.807696,5.289181 59.846296,5.193199 59.874070,5.078463 59.938620,5.266750 59.972698,5.327668 59.999038,5.328171 59.998817,5.499274 59.923560))	26	Kommune	Fitjar	1222		65966.9359482	244131492.969	244131492.968536	65966.935948	165711000
POLYGON((26.111026 70.656306,26.016924 70.662213,25.940588 70.666967,25.941742 70.737639,25.786633 70.728699,25.634924 70.683690,25.562965 70.708143,25.533154 70.718248,25.504965 70.727790,25.313961 70.755069,25.402772 70.822930,25.370916 70.857934,25.449850 70.878959,25.481510 70.918155,25.490865 70.929705,25.500268 70.941299,25.317728 70.999648,25.236089 70.990899,25.167533 70.983518,25.164048 70.988565,25.057605 71.141497,24.919796 71.335677,25.598735 71.383373,25.963702 71.379171,26.681104 71.361993,27.060697 71.351786,26.866081 71.157231,26.713800 71.002112,26.674033 70.961159,26.583697 70.867439,26.435151 70.818839,26.227771 70.705835,26.230106 70.677843,26.111026 70.656306))	27	Kommune	Nordkapp	2019		285535.314927	4100324141.93	4100324141.93115	285535.314927	194713000
POLYGON((25.313961 70.755069,24.977205 70.618276,24.761673 70.653012,24.699704 70.653007,24.663712 70.652995,24.606177 70.652960,24.382980 70.724652,24.168384 70.726491,23.936643 70.782511,23.899896 70.826723,23.817769 70.924826,23.572792 71.017242,23.338219 71.139432,23.247464 71.186228,23.368894 71.210699,23.668614 71.270499,23.774913 71.285962,23.988785 71.299972,24.342106 71.308119,24.629253 71.314085,24.919796 71.335677,25.057605 71.141497,25.164048 70.988565,25.167533 70.983518,25.236089 70.990899,25.317728 70.999648,25.500268 70.941299,25.490865 70.929705,25.481510 70.918155,25.449850 70.878959,25.370916 70.857934,25.402772 70.822930,25.313961 70.755069))	28	Kommune	Måsøy	2018		258908.126025	3884171524.42	3884171524.42529	258908.126025	96505000
POLYGON((21.006625 70.237510,21.032330 70.204781,21.100333 70.117688,21.110584 70.104495,21.438692 70.056464,21.156452 70.006808,21.130587 69.977596,21.018312 69.969482,20.946980 69.936655,20.789752 69.909995,20.718638 69.863715,20.758690 69.843777,20.735893 69.816214,20.689380 69.829209,20.684813 69.828297,20.629519 69.817234,20.590405 69.858511,20.532237 69.865931,20.457743 69.875399,20.500569 69.938382,20.368583 69.995283,20.222640 70.057732,20.394959 70.225109,20.446482 70.274590,20.577895 70.502852,20.622606 70.579707,20.693610 70.517524,21.006625 70.237510))	29	Kommune	Skjervøy	1941		212497.956009	1562682596.52	1562682596.51758	212497.956009	178499000
POLYGON((17.568202 69.349718,17.557042 69.318694,17.553707 69.309405,17.538019 69.308266,17.536520 69.308157,17.437994 69.300969,17.407474 69.298730,17.329270 69.320852,17.302457 69.354466,17.215763 69.354385,17.205574 69.381451,17.175733 69.388768,17.139672 69.397360,17.122849 69.401364,16.826504 69.471381,16.570398 69.649422,16.811476 69.694897,16.902233 69.713614,17.055515 69.745043,17.482026 69.601019,17.493592 69.597346,17.501104 69.583365,17.502841 69.581857,17.551736 69.539297,17.562803 69.529979,17.570714 69.523314,17.602978 69.500745,17.658817 69.481038,17.723056 69.495206,17.761607 69.480132,17.767702 69.477746,17.772818 69.475742,17.762915 69.473367,17.704517 69.459337,17.637608 69.443216,17.567263 69.383952,17.615985 69.361928,17.568202 69.349718))	30	Kommune	Berg	1929		149775.428938	1139833658.88	1139833658.88477	149775.428938	61096000
